date,price
08/01/2025,6238.009765625
07/01/2025,6339.39013671875
06/01/2025,6204.9501953125
05/01/2025,5911.68994140625
04/01/2025,5569.06005859375
03/01/2025,5611.85009765625
02/01/2025,5954.5
01/01/2025,6040.52978515625
12/01/2024,5881.6298828125
11/01/2024,6032.3798828125
10/01/2024,5705.4501953125
09/01/2024,5762.47998046875
08/01/2024,5648.39990234375
07/01/2024,5522.2998046875
06/01/2024,5460.47998046875
05/01/2024,5277.509765625
04/01/2024,5035.68994140625
03/01/2024,5254.35009765625
02/01/2024,5096.27001953125
01/01/2024,4845.64990234375
12/01/2023,4769.830078125
11/01/2023,4567.7998046875
10/01/2023,4193.7998046875
09/01/2023,4288.0498046875
08/01/2023,4507.66015625
07/01/2023,4588.9599609375
06/01/2023,4450.3798828125
05/01/2023,4179.830078125
04/01/2023,4169.47998046875
03/01/2023,4109.31005859375
02/01/2023,3970.14990234375
01/01/2023,4076.60009765625
12/01/2022,3839.5
11/01/2022,4080.110107421875
10/01/2022,3871.97998046875
09/01/2022,3585.6201171875
08/01/2022,3955.0
07/01/2022,4130.2900390625
06/01/2022,3785.3798828125
05/01/2022,4132.14990234375
04/01/2022,4131.93017578125
03/01/2022,4530.41015625
02/01/2022,4373.93994140625
01/01/2022,4515.5498046875
12/01/2021,4766.18017578125
11/01/2021,4567.0
10/01/2021,4605.3798828125
09/01/2021,4307.5400390625
08/01/2021,4522.68017578125
07/01/2021,4395.259765625
06/01/2021,4297.5
05/01/2021,4204.10986328125
04/01/2021,4181.169921875
03/01/2021,3972.889892578125
02/01/2021,3811.14990234375
01/01/2021,3714.239990234375
12/01/2020,3756.070068359375
11/01/2020,3621.6298828125
10/01/2020,3269.9599609375
09/01/2020,3363.0
08/01/2020,3500.31005859375
07/01/2020,3271.1201171875
06/01/2020,3100.2900390625
05/01/2020,3044.31005859375
04/01/2020,2912.429931640625
03/01/2020,2584.590087890625
02/01/2020,2954.219970703125
01/01/2020,3225.52001953125
12/01/2019,3230.780029296875
11/01/2019,3140.97998046875
10/01/2019,3037.56005859375
09/01/2019,2976.739990234375
08/01/2019,2926.4599609375
07/01/2019,2980.3798828125
06/01/2019,2941.760009765625
05/01/2019,2752.06005859375
04/01/2019,2945.830078125
03/01/2019,2834.39990234375
02/01/2019,2784.489990234375
01/01/2019,2704.10009765625
12/01/2018,2506.85009765625
11/01/2018,2760.169921875
10/01/2018,2711.739990234375
09/01/2018,2913.97998046875
08/01/2018,2901.52001953125
07/01/2018,2816.2900390625
06/01/2018,2718.3701171875
05/01/2018,2705.27001953125
04/01/2018,2648.050048828125
03/01/2018,2640.8701171875
02/01/2018,2713.830078125
01/01/2018,2823.81005859375
12/01/2017,2673.610107421875
11/01/2017,2647.580078125
10/01/2017,2575.260009765625
09/01/2017,2519.360107421875
08/01/2017,2471.64990234375
07/01/2017,2470.300048828125
06/01/2017,2423.409912109375
05/01/2017,2411.800048828125
04/01/2017,2384.199951171875
03/01/2017,2362.719970703125
02/01/2017,2363.639892578125
01/01/2017,2278.8701171875
12/01/2016,2238.830078125
11/01/2016,2198.81005859375
10/01/2016,2126.14990234375
09/01/2016,2168.27001953125
08/01/2016,2170.949951171875
07/01/2016,2173.60009765625
06/01/2016,2098.860107421875
05/01/2016,2096.949951171875
04/01/2016,2065.300048828125
03/01/2016,2059.739990234375
02/01/2016,1932.22998046875
01/01/2016,1940.239990234375
12/01/2015,2043.93994140625
11/01/2015,2080.409912109375
10/01/2015,2079.360107421875
09/01/2015,1920.030029296875
08/01/2015,1972.1800537109375
07/01/2015,2103.840087890625
06/01/2015,2063.110107421875
05/01/2015,2107.389892578125
04/01/2015,2085.510009765625
03/01/2015,2067.889892578125
02/01/2015,2104.5
01/01/2015,1994.989990234375
12/01/2014,2058.89990234375
11/01/2014,2067.56005859375
10/01/2014,2018.050048828125
09/01/2014,1972.2900390625
08/01/2014,2003.3699951171875
07/01/2014,1930.6700439453125
06/01/2014,1960.22998046875
05/01/2014,1923.5699462890625
04/01/2014,1883.949951171875
03/01/2014,1872.3399658203125
02/01/2014,1859.449951171875
01/01/2014,1782.5899658203125
12/01/2013,1848.3599853515625
11/01/2013,1805.81005859375
10/01/2013,1756.5400390625
09/01/2013,1681.550048828125
08/01/2013,1632.969970703125
07/01/2013,1685.72998046875
06/01/2013,1606.280029296875
05/01/2013,1630.739990234375
04/01/2013,1597.5699462890625
03/01/2013,1569.18994140625
02/01/2013,1514.6800537109375
01/01/2013,1498.1099853515625
12/01/2012,1426.18994140625
11/01/2012,1416.1800537109375
10/01/2012,1412.1600341796875
09/01/2012,1440.6700439453125
08/01/2012,1406.5799560546875
07/01/2012,1379.3199462890625
06/01/2012,1362.1600341796875
05/01/2012,1310.3299560546875
04/01/2012,1397.9100341796875
03/01/2012,1408.469970703125
02/01/2012,1365.6800537109375
01/01/2012,1312.4100341796875
12/01/2011,1257.5999755859375
11/01/2011,1246.9599609375
10/01/2011,1253.300048828125
09/01/2011,1131.4200439453125
08/01/2011,1218.8900146484375
07/01/2011,1292.280029296875
06/01/2011,1320.6400146484375
05/01/2011,1345.199951171875
04/01/2011,1363.6099853515625
03/01/2011,1325.8299560546875
02/01/2011,1327.219970703125
01/01/2011,1286.1199951171875
12/01/2010,1257.6400146484375
11/01/2010,1180.550048828125
10/01/2010,1183.260009765625
09/01/2010,1141.199951171875
08/01/2010,1049.3299560546875
07/01/2010,1101.5999755859375
06/01/2010,1030.7099609375
05/01/2010,1089.4100341796875
04/01/2010,1186.68994140625
03/01/2010,1169.4300537109375
